idEmpresa;contrato;Descripcion;Sexo;SalarioActual;CodigoCiudad;Ciudad;CodigoDepartamento;Departamento
188;22902;AYUDANTE DE OBRA;M;1160000;05001;Medellín;5;Antioquia
188;22919;AYUDANTE DE OBRA;M;1160000;05001;Medellín;5;Antioquia
188;22922;AYUDANTE DE OBRA;M;1160000;05001;Medellín;5;Antioquia
227;27642;Almacenista;M;2638200;05001;Medellín;5;Antioquia
227;27934;Almacenista;M;2500700;05001;Medellín;5;Antioquia
227;29288;Almacenista;M;2638200;05001;Medellín;5;Antioquia
227;27462;Analista de Experiencia del Cliente;F;2019300;05001;Medellín;5;Antioquia
227;27562;Analista de TI;M;5045400;05001;Medellín;5;Antioquia
227;27459;Analista Jurídico;M;3222200;05001;Medellín;5;Antioquia
227;33536;Analista Jurídico;F;4107537;05001;Medellín;5;Antioquia
227;27794;Asesor Comercial Junior;F;1439100;05001;Medellín;5;Antioquia
227;27751;Asesor Comercial Junior;F;1439100;05001;Medellín;5;Antioquia
227;27393;Asesor Comercial Junior;F;1439100;05001;Medellín;5;Antioquia
227;27413;Asistente Trámites Inmobiliarios;F;1500000;05001;Medellín;5;Antioquia
227;27960;Auxiliar de Almacén;M;1498500;05001;Medellín;5;Antioquia
227;29875;Auxiliar de Almacén;M;1498500;05001;Medellín;5;Antioquia
227;27476;Asesor Comercial Senior;F;1942700;05001;Medellín;5;Antioquia
227;27665;Auxiliar Servicios Generales;F;1316700;05001;Medellín;5;Antioquia
227;27559;Coordinador de Proyectos Especiales;M;2500000;05001;Medellín;5;Antioquia
227;27920;Maestro de Obra;M;3335900;05001;Medellín;5;Antioquia
227;27605;Maestro de Obra;M;3501800;05001;Medellín;5;Antioquia
227;27625;Maestro de Obra;M;3771000;05001;Medellín;5;Antioquia
227;27519;Maestro de Obra;M;3335900;05001;Medellín;5;Antioquia
227;27834;Maestro de Obra;M;2948958;05001;Medellín;5;Antioquia
227;27774;Maestro de Obra;M;3335900;05001;Medellín;5;Antioquia
227;33287;Maestro Segundo;M;2195055;05001;Medellín;5;Antioquia
227;27977;Maestro Segundo;M;2326100;05001;Medellín;5;Antioquia
227;27980;Maestro Segundo;M;2326100;05001;Medellín;5;Antioquia
227;27522;Gerente de Gestión Humana y Desarrollo Organizacional;F;15711300;05001;Medellín;5;Antioquia
227;27831;Llavero;M;1160000;05001;Medellín;5;Antioquia
227;27854;Maestro de Obra;M;3501800;05001;Medellín;5;Antioquia
227;27897;Maestro de Obra;M;3771000;05001;Medellín;5;Antioquia
227;27914;Operador de Concretadora;M;2488600;05001;Medellín;5;Antioquia
227;27602;Portero de Obra;M;1364900;05001;Medellín;5;Antioquia
227;27768;Portero de Obra;M;1433400;05001;Medellín;5;Antioquia
227;27436;Recepcionista;F;1160000;05001;Medellín;5;Antioquia
227;27376;Recepcionista;F;1762200;05001;Medellín;5;Antioquia
227;29291;Residente Auxiliar ;F;2723600;05001;Medellín;5;Antioquia
227;27857;Residente Auxiliar 3;M;4463000;05001;Medellín;5;Antioquia
227;27851;Residente de Obra ;F;5000000;05001;Medellín;5;Antioquia
227;27874;Residente de Obra ;F;5421500;05001;Medellín;5;Antioquia
227;27894;Residente de Obra ;F;5220200;05001;Medellín;5;Antioquia
227;27622;Director Técnico;M;12074200;05001;Medellín;5;Antioquia
227;27731;Profesional Soporte Técnico Postventas;M;4378500;05001;Medellín;5;Antioquia
227;27748;Oficial Soporte Técnico Postventas;M;2509200;05001;Medellín;5;Antioquia
227;27416;Oficial Soporte Técnico Postventas;M;2088000;05001;Medellín;5;Antioquia
227;28017;Oficial Soporte Técnico Postventas;M;2509200;05001;Medellín;5;Antioquia
227;27688;Auxiliar de Tesorería;F;2117200;05001;Medellín;5;Antioquia
227;27565;Analista Administrativo de Obra;F;2828000;05001;Medellín;5;Antioquia
227;27917;Analista Administrativo de Obra;F;2828000;05001;Medellín;5;Antioquia
227;27399;Asistente de Contabilidad;M;2645600;05001;Medellín;5;Antioquia
227;27419;Analista SST;F;2267500;05001;Medellín;5;Antioquia
227;27814;Analista SST;F;2446500;05001;Medellín;5;Antioquia
227;27711;Analista SST;F;2260800;05001;Medellín;5;Antioquia
227;27685;Analista SST;F;1948997;05001;Medellín;5;Antioquia
227;30244;Analista SST;F;2000000;05001;Medellín;5;Antioquia
227;29872;Analista SST;M;2080500;05001;Medellín;5;Antioquia
227;27940;Analista SST;F;2260800;05001;Medellín;5;Antioquia
227;27877;Analista SST;F;2320000;05001;Medellín;5;Antioquia
227;27479;Asistente de Trámites;F;3167400;05001;Medellín;5;Antioquia
227;27502;Analista Ambiental;F;2267500;05001;Medellín;5;Antioquia
227;27645;Director de Control y Analítica;M;10000000;05001;Medellín;5;Antioquia
227;27585;Coordinador de Estrategia e Innovación;M;5606000;05001;Medellín;5;Antioquia
227;27373;Profesional de Proyectos;F;3580200;05001;Medellín;5;Antioquia
227;27542;Diseñador Grafico y Audiovisual;M;3393600;05001;Medellín;5;Antioquia
227;27705;Gerente de Proyectos;F;19271000;05001;Medellín;5;Antioquia
227;27396;Gestor Comercial Digital;F;1500000;05001;Medellín;5;Antioquia
227;27439;Coordinador BIM;M;6224200;05001;Medellín;5;Antioquia
227;27356;Coordinador Analítica de Presupuestos;M;6166600;05001;Medellín;5;Antioquia
227;27771;Gestor de Canales y Copy Creativo;F;3000000;05001;Medellín;5;Antioquia
227;27582;Fierrero;M;1498500;05001;Medellín;5;Antioquia
227;27539;Programador de Pauta Digital;M;3800000;05001;Medellín;5;Antioquia
227;27648;Analista de Trámites y Desembolsos;F;2533920;05001;Medellín;5;Antioquia
227;27728;Técnico de Obra;M;1610300;05001;Medellín;5;Antioquia
227;27957;Técnico de Obra;M;1494400;05001;Medellín;5;Antioquia
235;30708;Gerente General;M;15080000;05001;Medellín;5;Antioquia
